faculty_id,faculty_name,department_id,department_name,department_type,year,male,female,total_male_number,total_female_number,total_student_number_,professors,assoc_prof,phd,base_point,tyt_turkce,tyt_matematik,tyt_fen,tyt_sosyal,ayt_matematik,ayt_fizik,ayt_kimya,ayt_biyoloji,ayt_edebiyat,ayt_cografya1,ayt_cografya2,ayt_din,ayt_felsefe,ayt_tarih1,ayt_tarih2,Marmara,Ege,Akdeniz,Karadeniz,Ic_Anadolu,Dogu_Anadolu,Guney_Dogu_Anadolu
4,Gemi İnşaatı ve Denizcilik Fakültesi,15,Gemi İnşaatı ve Gemi Makineleri Mühendisliği,SAY,2021,69,13,546,52,598,10,3,9,"384,24844",27.2,18.2,14.0,13.6,21.6,6.8,10.0,10.8,,,,,,,,39,4,23,5,7,3,1
4,Gemi İnşaatı ve Denizcilik Fakültesi,15,Gemi İnşaatı ve Gemi Makineleri Mühendisliği,SAY,2022,73,9,554,68,622,11,3,7,"456,77282",29.8,31.6,14.8,13.9,34.3,9.2,9.5,8.6,,,,,,,,43,6,13,8,6,3,3
4,Gemi İnşaatı ve Denizcilik Fakültesi,15,Gemi İnşaatı ve Gemi Makineleri Mühendisliği,SAY,2023,68,14,523,72,595,10,7,5,"470,53124",30.6,32.4,16.6,13.9,32.7,12.2,10.1,9.1,,,,,,,,52,10,5,6,4,1,4
4,Gemi İnşaatı ve Denizcilik Fakültesi,16,Gemi Makineleri İşletme Mühendisliği,SAY,2021,60,12,434,19,453,4,4,9,"351,49049",26.2,15.6,12.9,11.8,17.3,5.3,9.4,9.5,,,,,,,,37,9,12,3,5,3,3
4,Gemi İnşaatı ve Denizcilik Fakültesi,16,Gemi Makineleri İşletme Mühendisliği,SAY,2022,61,11,471,34,505,4,6,7,"429,97242",28.0,29.2,13.4,12.6,30.8,8.0,8.7,7.6,,,,,,,,28,8,19,7,7,1,2
4,Gemi İnşaatı ve Denizcilik Fakültesi,16,Gemi Makineleri İşletme Mühendisliği,SAY,2023,62,10,416,39,455,5,6,6,"445,32388",29.3,28.8,15.3,13.5,29.3,11.1,9.4,7.9,,,,,,,,34,11,8,8,5,1,5
5,Kimya-Metalurji Fakültesi,4,Biyomühendislik,SAY,2021,18,54,84,319,403,6,2,5,"351,38010",27.6,15.7,13.0,12.0,16.0,4.4,9.5,10.3,,,,,,,,52,5,5,1,6,0,3
5,Kimya-Metalurji Fakültesi,4,Biyomühendislik,SAY,2022,14,58,109,367,476,6,5,5,"425,81540",29.5,27.1,13.3,12.4,29.3,7.2,8.9,7.9,,,,,,,,50,4,5,8,4,0,1
5,Kimya-Metalurji Fakültesi,4,Biyomühendislik,SAY,2023,18,54,106,341,447,11,7,2,"437,60445",30.6,27.1,15.0,12.9,27.9,10.6,8.8,7.8,,,,,,,,51,3,3,4,6,4,1
5,Kimya-Metalurji Fakültesi,5,Biyomühendislik (İngilizce),SAY,2021,10,52,111,307,418,6,2,5,"364,66632",28.9,16.6,13.8,13.2,18.1,4.9,9.7,10.4,,,,,,,,37,9,4,2,10,0,0
