faculty_id,faculty_name,department_id,department_name,department_type,year,male,female,total_male_number,total_female_number,total_student_number_,professors,assoc_prof,phd,base_point,success_order,preferred,quota,placed_number,tyt_turkce,tyt_matematik,tyt_fen,tyt_sosyal,ayt_matematik,ayt_fizik,ayt_kimya,ayt_biyoloji,ayt_edebiyat,ayt_cografya1,ayt_cografya2,ayt_din,ayt_felsefe,ayt_tarih1,ayt_tarih2,ydt_yabanci_dil,Marmara,Ege,Akdeniz,Karadeniz,Ic_Anadolu,Dogu_Anadolu,Guney_Dogu_Anadolu
2,Eğitim Fakültesi,53,Sınıf Öğretmenliği,EA,2022,11,51,65,228,293,1,0,2,385.64321,85197,977,62,62,28.1,19.9,3.8,14.2,19.9,,,,17.2,4.2,,,,4.4,,,36,0,1,6,4,7,8
2,Eğitim Fakültesi,53,Sınıf Öğretmenliği,EA,2023,18,44,66,221,287,2,2,2,385.68066,70207,1210,62,62,29.5,19.7,2.9,13.8,18.8,,,,18.0,3.5,,,,5.4,,,40,0,1,5,1,10,5
2,Eğitim Fakültesi,53,Sınıf Öğretmenliği,EA,2024,8,23,66,221,287,2,2,2,378.48817,64201,1062,31,31,30.8,21.8,3.6,13.9,13.9,,,,17.6,4.0,,,,6.9,,,24,0,0,0,0,1,6
2,Eğitim Fakültesi,55,Sosyal Bilgiler Öğretmenliği,SÖZ,2021,18,34,86,163,249,3,2,1,340.32209,35152,770,52,52,25.5,3.5,1.2,13.8,,,,,15.8,4.5,7.8,3.7,6.6,5.4,4.6,,43,0,2,4,2,1,0
2,Eğitim Fakültesi,55,Sosyal Bilgiler Öğretmenliği,SÖZ,2022,25,27,95,165,260,3,2,1,384.55109,39600,723,52,52,27.4,8.1,2.0,14.4,,,,,15.7,4.7,8.5,4.1,6.8,5.5,7.6,,41,1,2,3,1,3,1
2,Eğitim Fakültesi,55,Sosyal Bilgiler Öğretmenliği,SÖZ,2023,23,29,99,150,249,5,2,1,385.85695,36252,624,52,52,27.8,7.7,1.1,14.7,,,,,16.3,3.6,6.9,4.4,6.2,6.2,8.6,,46,0,0,2,1,2,1
2,Eğitim Fakültesi,55,Sosyal Bilgiler Öğretmenliği,SÖZ,2024,17,35,99,150,249,5,2,1,399.23821,32846,665,52,52,28.9,6.1,1.2,14.6,,,,,16.9,3.9,8.0,3.8,6.4,7.7,7.9,,45,2,2,3,0,0,0
2,Eğitim Fakültesi,58,Türkçe Öğretmenliği,SÖZ,2021,27,35,104,168,272,3,2,3,371.84068,11209,1170,62,62,28.5,4.7,2.1,15.7,,,,,18.4,4.8,8.9,4.2,7.4,6.2,6.6,,45,1,2,7,4,0,3
2,Eğitim Fakültesi,58,Türkçe Öğretmenliği,SÖZ,2022,21,41,118,183,301,3,5,0,410.98162,14581,890,62,62,30.7,7.7,1.6,15.8,,,,,18.9,5.0,9.3,4.8,7.5,5.7,8.4,,47,0,4,4,3,2,2
2,Eğitim Fakültesi,58,Türkçe Öğretmenliği,SÖZ,2023,25,37,119,184,303,4,3,4,414.54799,11409,873,62,62,31.2,8.8,1.9,15.6,,,,,19.1,4.1,7.4,4.9,7.6,6.9,8.8,,48,3,1,3,2,2,3
2,Eğitim Fakültesi,58,Türkçe Öğretmenliği,SÖZ,2024,19,22,119,184,303,4,3,4,426.89881,10345,699,41,41,31.2,8.1,1.5,14.7,,,,,18.9,4.1,8.8,4.4,7.4,8.5,8.9,,30,0,3,3,1,3,1
