faculty_id,faculty_name,department_id,department_name,department_type,year,male,female,total_male_number,total_female_number,total_student_number
9,İktisadi ve İdari Bilimler Fakültesi,54,Siyaset Bilimi ve Uluslararası İlişkiler,EA,2021,34,48,196,302,498
9,İktisadi ve İdari Bilimler Fakültesi,54,Siyaset Bilimi ve Uluslararası İlişkiler,EA,2021,34,48,188,299,487
2,Eğitim Fakültesi,55,Sosyal Bilgiler Öğretmenliği,SÖZ,2021,18,34,86,163,249
2,Eğitim Fakültesi,55,Sosyal Bilgiler Öğretmenliği,SÖZ,2021,18,34,95,165,260
2,Eğitim Fakültesi,55,Sosyal Bilgiler Öğretmenliği,SÖZ,2021,18,34,99,150,249
2,Eğitim Fakültesi,53,Sınıf Öğretmenliği,EA,2021,13,49,65,210,275
2,Eğitim Fakültesi,53,Sınıf Öğretmenliği,EA,2021,13,49,65,228,293
2,Eğitim Fakültesi,53,Sınıf Öğretmenliği,EA,2021,13,49,66,221,287
3,Fen-Edebiyat Fakültesi,57,Türk Dili ve Edebiyatı,SÖZ,2021,17,55,75,230,305
3,Fen-Edebiyat Fakültesi,57,Türk Dili ve Edebiyatı,SÖZ,2021,17,55,80,235,315
3,Fen-Edebiyat Fakültesi,57,Türk Dili ve Edebiyatı,SÖZ,2021,17,55,84,255,339
2,Eğitim Fakültesi,58,Türkçe Öğretmenliği,SÖZ,2021,27,35,104,168,272
2,Eğitim Fakültesi,58,Türkçe Öğretmenliği,SÖZ,2021,27,35,118,183,301
2,Eğitim Fakültesi,58,Türkçe Öğretmenliği,SÖZ,2021,27,35,119,184,303
10,İnşaat Fakültesi,6,Çevre Mühendisliği,SAY,2021,15,57,178,283,461
10,İnşaat Fakültesi,6,Çevre Mühendisliği,SAY,2021,15,57,168,306,474
10,İnşaat Fakültesi,6,Çevre Mühendisliği,SAY,2021,15,57,150,293,443
9,İktisadi ve İdari Bilimler Fakültesi,19,İktisat,EA,2023,54,52,54,52,106
9,İktisadi ve İdari Bilimler Fakültesi,20,İktisat (İngilizce),EA,2021,31,21,170,110,280
9,İktisadi ve İdari Bilimler Fakültesi,20,İktisat (İngilizce),EA,2021,31,21,216,127,343
9,İktisadi ve İdari Bilimler Fakültesi,20,İktisat (İngilizce),EA,2021,31,21,222,134,356
8,Sanat ve Tasarım Fakültesi,21,İletişim ve Tasarımı,SÖZ,2021,22,40,27,39,66
8,Sanat ve Tasarım Fakültesi,21,İletişim ve Tasarımı,SÖZ,2021,22,40,82,153,235
8,Sanat ve Tasarım Fakültesi,21,İletişim ve Tasarımı,SÖZ,2021,22,40,105,218,323
2,Eğitim Fakültesi,22,İlköğretim Matematik Öğretmenliği,SAY,2021,14,48,92,225,317
2,Eğitim Fakültesi,22,İlköğretim Matematik Öğretmenliği,SAY,2021,14,48,96,248,344
2,Eğitim Fakültesi,22,İlköğretim Matematik Öğretmenliği,SAY,2021,14,48,86,232,318
2,Eğitim Fakültesi,23,İngilizce Öğretmenliği,DİL,2021,26,36,112,191,303
2,Eğitim Fakültesi,23,İngilizce Öğretmenliği,DİL,2021,26,36,119,202,321
2,Eğitim Fakültesi,23,İngilizce Öğretmenliği,DİL,2021,26,36,112,197,309
