faculty_id,faculty_name,department_id,department_name,department_type,year,male,female,total_male_number,total_female_number,total_student_number,avg_professors,avg_assoc_prof,avg_phd,avg_base_point,total_leaving,total_incoming,avg_success_order,total_quota,total_preferred
3,Fen-Edebiyat Fakültesi,49,Moleküler Biyoloji ve Genetik,SAY,2021,17,65,124,254,378,5.0,3.0,5.0,380.0,3,2,60.177,82,1.874
3,Fen-Edebiyat Fakültesi,49,Moleküler Biyoloji ve Genetik,SAY,2022,21,61,130,326,456,7.0,2.0,5.0,450.0,0,1,56.555,82,2.131
3,Fen-Edebiyat Fakültesi,49,Moleküler Biyoloji ve Genetik,SAY,2023,32,51,135,323,458,7.0,6.0,3.0,451.0,8,1,56.719,84,1612
3,Fen-Edebiyat Fakültesi,57,Türk Dili ve Edebiyatı,SÖZ,2021,17,55,75,230,305,4.0,1.0,6.0,323.0,0,5,59.86,72,994
3,Fen-Edebiyat Fakültesi,57,Türk Dili ve Edebiyatı,SÖZ,2022,15,57,80,235,315,5.0,2.0,6.0,375.0,0,3,53.074,72,1.627
3,Fen-Edebiyat Fakültesi,57,Türk Dili ve Edebiyatı,SÖZ,2023,18,56,84,255,339,4.0,3.0,9.0,378.0,2,8,47.179,74,1105
4,Gemi İnşaatı ve Denizcilik Fakültesi,15,Gemi İnşaatı ve Gemi Makineleri Mühendisliği,SAY,2021,69,13,546,52,598,10.0,3.0,9.0,384.0,10,0,57.003,82,943
4,Gemi İnşaatı ve Denizcilik Fakültesi,15,Gemi İnşaatı ve Gemi Makineleri Mühendisliği,SAY,2022,73,9,554,68,622,11.0,3.0,7.0,456.0,4,0,50.704,82,1.227
4,Gemi İnşaatı ve Denizcilik Fakültesi,15,Gemi İnşaatı ve Gemi Makineleri Mühendisliği,SAY,2023,68,14,523,72,595,10.0,7.0,5.0,470.0,7,0,40.128,82,1479
4,Gemi İnşaatı ve Denizcilik Fakültesi,16,Gemi Makineleri İşletme Mühendisliği,SAY,2021,60,12,434,19,453,4.0,4.0,9.0,351.0,2,0,90.209,72,801
4,Gemi İnşaatı ve Denizcilik Fakültesi,16,Gemi Makineleri İşletme Mühendisliği,SAY,2022,61,11,471,34,505,4.0,6.0,7.0,429.0,1,0,74.874,72,1.158
4,Gemi İnşaatı ve Denizcilik Fakültesi,16,Gemi Makineleri İşletme Mühendisliği,SAY,2023,62,10,416,39,455,5.0,6.0,6.0,445.0,4,0,62.528,72,1086
5,Kimya-Metalurji Fakültesi,4,Biyomühendislik,SAY,2021,18,54,84,319,403,6.0,2.0,5.0,351.0,8,0,90.344,72,1.206
5,Kimya-Metalurji Fakültesi,4,Biyomühendislik,SAY,2022,14,58,109,367,476,6.0,5.0,5.0,425.0,4,0,78.936,72,1.41
5,Kimya-Metalurji Fakültesi,4,Biyomühendislik,SAY,2023,18,54,106,341,447,11.0,7.0,2.0,437.0,4,0,69.728,72,1190
5,Kimya-Metalurji Fakültesi,5,Biyomühendislik (İngilizce),SAY,2021,10,52,111,307,418,6.0,2.0,5.0,364.0,11,0,76.044,62,1.477
5,Kimya-Metalurji Fakültesi,5,Biyomühendislik (İngilizce),SAY,2022,12,50,118,350,468,0.0,0.0,0.0,438.0,2,1,66.934,62,1.642
5,Kimya-Metalurji Fakültesi,5,Biyomühendislik (İngilizce),SAY,2023,14,48,113,333,446,11.0,7.0,2.0,448.0,7,2,59.276,62,1385
5,Kimya-Metalurji Fakültesi,17,Gıda Mühendisliği,SAY,2021,18,54,63,323,386,4.0,4.0,3.0,332.0,2,0,113.046,72,894
5,Kimya-Metalurji Fakültesi,17,Gıda Mühendisliği,SAY,2022,12,60,73,338,411,3.0,6.0,2.0,406.0,1,4,98.859,72,1.314
5,Kimya-Metalurji Fakültesi,17,Gıda Mühendisliği,SAY,2023,12,60,79,331,410,5.0,4.0,3.0,420.0,8,2,86.82,72,1128
5,Kimya-Metalurji Fakültesi,31,Kimya Mühendisliği,SAY,2021,23,59,147,377,524,7.0,8.0,12.0,384.0,12,1,56.591,82,1.463
5,Kimya-Metalurji Fakültesi,31,Kimya Mühendisliği,SAY,2022,27,55,156,398,554,8.0,9.0,10.0,458.0,2,0,49.462,82,1.597
5,Kimya-Metalurji Fakültesi,31,Kimya Mühendisliği,SAY,2023,32,50,157,367,524,12.0,8.0,7.0,469.0,19,0,41.104,82,1758
5,Kimya-Metalurji Fakültesi,32,Kimya Mühendisliği (İngilizce),SAY,2021,23,49,143,277,420,7.0,8.0,12.0,396.0,6,0,46.546,72,1.73
5,Kimya-Metalurji Fakültesi,32,Kimya Mühendisliği (İngilizce),SAY,2022,30,42,176,304,480,0.0,0.0,0.0,471.0,2,3,38.518,72,1.854
