year,faculty_name,total_male_number Change (%),total_female_number Change (%),total_student_number_ Change (%),professors Change (%),assoc_prof Change (%),phd Change (%),base_point Change (%),success_order Change (%),preferred Change (%),quota Change (%),placed_number Change (%),tyt_turkce Change (%),tyt_matematik Change (%),tyt_fen Change (%),tyt_sosyal Change (%),ayt_matematik Change (%),ayt_fizik Change (%),ayt_kimya Change (%),ayt_biyoloji Change (%),ayt_edebiyat Change (%),ayt_cografya1 Change (%),ayt_cografya2 Change (%),ayt_din Change (%),ayt_felsefe Change (%),ayt_tarih1 Change (%),ayt_tarih2 Change (%),ydt_yabanci_dil Change (%),Marmara Change (%),Ege Change (%),Akdeniz Change (%),Karadeniz Change (%),Ic_Anadolu Change (%),Dogu_Anadolu Change (%),Guney_Dogu_Anadolu Change (%),tyt_correct_answer Change (%),ayt_correct_answer Change (%),ydt_correct_answer Change (%)
2024,Mimarlık Fakültesi,0.0,0.0,0.0,0.0,0.0,0.0,-3.944262685680966,-10.390697370659796,-2.8816676885346393,-17.417417417417415,-16.96969696969697,0.7698887938408783,2.8008298755186622,-8.333333333333314,0.7984031936127733,-24.668141592920367,-9.40766550522648,-17.647058823529406,17.224880382775144,10.90909090909089,43.47826086956521,,,,42.10526315789473,,,-4.761904761904767,-29.411764705882348,-7.692307692307687,-3.703703703703709,-58.62068965517242,-57.14285714285714,-81.81818181818181,0.09746588693957392,-12.050856826976219,
2022,Sanat ve Tasarım Fakültesi,77.02702702702702,154.37500000000003,117.20779220779222,200.0,-25.0,25.0,16.40299956300528,-20.431446342452787,86.8437697659709,0.0,0.0,8.302354399008681,103.92156862745097,-5.454545454545445,1.2195121951219523,,,,,4.966139954853288,13.432835820895539,10.300429184549365,29.591836734693857,6.403940886699511,16.799999999999994,68.69565217391302,,3.3613445378151363,-58.33333333333333,-11.111111111111116,19.999999999999996,37.5,-50.0,100.0,15.999999999999993,15.24796447076242,
2023,Sanat ve Tasarım Fakültesi,24.427480916030532,28.25552825552826,26.756352765321378,8.333333333333325,133.33333333333334,-19.999999999999996,0.37836667830222215,-5.83016476552598,-22.34258632362898,3.0303030303030276,3.0303030303030276,1.6018306636155444,7.051282051282048,30.76923076923077,6.024096385542155,,,,,-3.6559139784946293,-34.86842105263159,-22.17898832684825,1.5748031496062964,2.314814814814814,10.95890410958904,22.164948453608257,,8.943089430894302,19.999999999999996,25.0,-8.333333333333337,-72.72727272727273,0.0,0.0,4.658197217180882,-3.917790622992945,
2024,Sanat ve Tasarım Fakültesi,0.0,0.0,0.0,0.0,0.0,0.0,4.356375840221283,-20.314743941592674,2.571926765475152,2.941176470588225,2.941176470588225,1.9144144144144226,-12.574850299401186,-1.4705882352941124,-1.1363636363636354,,,,,12.500000000000021,23.23232323232325,22.499999999999986,-4.651162790697683,-6.7873303167420795,30.246913580246936,-2.5316455696202445,,8.208955223880587,-16.666666666666664,-9.999999999999998,-54.54545454545454,233.33333333333334,-100.0,-75.0,-1.7919075144508634,9.75935828877006,
2022,İktisadi ve İdari Bilimler Fakültesi,17.647058823529417,13.687150837988838,15.732613099257264,-14.634146341463417,-25.92592592592593,-32.432432432432435,20.55948642791565,-21.987363886702227,28.549141965678636,0.0,0.0,6.50406504065042,90.6832298136646,61.29032258064515,-0.7117437722419906,90.51724137931035,,,,-3.776435045317217,7.428571428571429,,,,13.953488372093004,,,9.81595092024541,-16.666666666666664,-26.923076923076927,-9.090909090909093,21.052631578947366,0.0,-54.54545454545454,26.05114867793672,29.327902240325866,
2023,İktisadi ve İdari Bilimler Fakültesi,7.55555555555556,12.53071253071254,9.918319719953317,102.85714285714285,14.999999999999991,72.0,1.0586690214523076,-4.95003451069832,49.211165048543684,41.21863799283154,39.78494623655915,3.8846480067854072,-0.3691639522258261,1.1200000000000099,4.229390681003586,-4.162895927601806,,,,10.266875981161672,-25.531914893617024,,,,9.387755102040817,,,46.368715083798875,19.999999999999996,31.578947368421062,60.00000000000001,17.391304347826097,-37.5,80.0,2.365887207702877,-0.05249343832021136,
2024,İktisadi ve İdari Bilimler Fakültesi,0.0,0.0,0.0,0.0,0.0,0.0,1.7571335090972307,-37.46862519140607,4.6766978446523,6.091370558375631,7.179487179487176,1.763553233180959,12.81604184829992,7.594936708860756,1.1004126547455195,-11.425873465533531,,,,6.71981776765378,15.999999999999993,,,,38.43283582089552,,,0.7633587786259444,30.000000000000004,39.99999999999999,15.625,14.814814814814813,-19.999999999999996,-11.111111111111116,5.5361461972587955,2.899159663865536,
2022,İnşaat Fakültesi,-7.0844686648501405,10.954616588419409,-2.425222312045272,25.0,-6.25,-9.999999999999998,21.36233863236525,-9.561002303365008,40.16238159675236,0.0,0.0,10.609037328094306,85.36155202821867,8.597285067873294,6.181015452538641,75.40983606557377,49.99999999999998,-10.83591331269349,-28.197674418604645,,,,,,,,,12.01923076923077,-35.71428571428571,-4.0000000000000036,6.896551724137923,-44.827586206896555,-30.76923076923077,31.25,26.532258064516135,28.36236933797909,
2023,İnşaat Fakültesi,-8.093841642228739,-2.256699576868826,-6.379453189726592,21.42857142857142,0.0,7.407407407407418,3.8389661564864896,-12.260171393505582,-4.807877968719831,0.0,0.0,3.0195381882770933,-1.4272121788772574,12.083333333333336,5.8212058212058215,-7.196261682242988,56.118143459915615,4.861111111111116,13.36032388663968,,,,,,,,,8.15450643776825,27.777777777777768,-16.666666666666664,-25.806451612903224,12.5,-11.111111111111116,-57.14285714285714,3.3460803059273347,5.591748099891425,
2024,İnşaat Fakültesi,0.0,0.0,0.0,0.0,0.0,0.0,-2.92871757247688,-14.05011224634527,9.513184584178491,-25.761772853185594,-25.761772853185594,2.8448275862068995,5.598455598455621,-8.550185873605942,0.5893909626718985,-21.148036253776436,-4.054054054054057,-5.960264900662249,14.28571428571428,,,,,,,,,-21.825396825396826,-26.086956521739136,-50.0,-30.434782608695656,-27.77777777777778,-18.75,-77.77777777777779,1.4801110083256352,-10.437017994858621,
