year,faculty_name,department_name,Adana,Adıyaman,Afyonkarahisar,Ağrı,Amasya,Ankara,Antalya,Artvin,Aydın,Balıkesir,Bilecik,Bingöl,Bitlis,Bolu,Burdur,Bursa,Çanakkale,Çankırı,Çorum,Denizli,Diyarbakır,Edirne,Elazığ,Erzincan,Erzurum,Eskişehir,Gaziantep,Giresun,Gümüşhane,Hakkari,Hatay,Isparta,Mersin,Istanbul,Izmir,Kars,Kastamonu,Kayseri,Kırklareli,Kırşehir,Kocaeli,Konya,Kütahya,Malatya,Manisa,Kahramanmaraş,Mardin,Muğla,Muş,Nevşehir,Niğde,Ordu,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdağ,Tokat,Trabzon,Tunceli,Şanlıurfa,Uşak,Van,Yozgat,Zonguldak,Aksaray,Bayburt,Karaman,Kırıkkale,Batman,Sırnak,Bartın,Ardahan,Iğdır,Yalova,Karabük,Kilis,Osmaniye,Düzce
2023,Kimya-Metalurji Fakültesi,Kimya Mühendisliği (İngilizce),2,0,0,0,0,0,1,0,2,4,1,0,0,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,33,2,0,0,1,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0
2024,Kimya-Metalurji Fakültesi,Kimya Mühendisliği (İngilizce),1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,20,7,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2021,Elektrik-Elektronik Fakültesi,Kontrol ve Otomasyon Mühendisliği,0,0,0,0,2,1,2,1,1,1,1,0,0,0,0,5,1,0,1,0,0,1,2,0,0,0,1,2,0,0,1,0,3,23,3,0,0,1,0,1,1,1,0,0,2,0,1,2,0,0,0,0,0,4,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022,Elektrik-Elektronik Fakültesi,Kontrol ve Otomasyon Mühendisliği,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,2,34,4,0,0,2,1,0,1,1,1,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0
2023,Elektrik-Elektronik Fakültesi,Kontrol ve Otomasyon Mühendisliği,1,0,0,0,0,1,2,0,0,6,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,30,1,0,0,2,0,0,3,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024,Elektrik-Elektronik Fakültesi,Kontrol ve Otomasyon Mühendisliği,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,6,30,1,0,1,0,0,0,6,0,1,0,1,1,0,0,0,0,0,1,1,2,4,0,0,1,2,1,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0
2021,Elektrik-Elektronik Fakültesi,Kontrol ve Otomasyon Mühendisliği (İngilizce),2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,24,3,0,0,1,0,0,4,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Elektrik-Elektronik Fakültesi,Kontrol ve Otomasyon Mühendisliği (İngilizce),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,26,4,0,0,0,1,0,2,0,2,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2023,Elektrik-Elektronik Fakültesi,Kontrol ve Otomasyon Mühendisliği (İngilizce),1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,24,2,0,0,2,1,0,2,0,1,1,2,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Elektrik-Elektronik Fakültesi,Kontrol ve Otomasyon Mühendisliği (İngilizce),5,0,0,0,0,2,1,0,1,1,1,1,0,1,0,7,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,15,1,0,0,2,0,1,4,0,0,2,0,0,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2021,Mimarlık Fakültesi,Kültür Varlıklarını Koruma ve Onarım,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,31,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Mimarlık Fakültesi,Kültür Varlıklarını Koruma ve Onarım,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,33,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
