year,department_name,success_order,base_point,tyt_correct_answer,ayt_correct_answer,ydt_correct_answer,Base Point Change,Success Order Change,TYT Correct Answer Change,AYT Correct Answer Change,YDT Correct Answer Change,Base Point Change (%),Success Order Change (%),TYT Correct Answer Change (%),AYT Correct Answer Change (%),YDT Correct Answer Change (%),tyt_turkce Change,tyt_turkce Change (%),tyt_matematik Change,tyt_matematik Change (%),tyt_fen Change,tyt_fen Change (%),tyt_sosyal Change,tyt_sosyal Change (%),ayt_matematik Change,ayt_matematik Change (%),ayt_fizik Change,ayt_fizik Change (%),ayt_kimya Change,ayt_kimya Change (%),ayt_biyoloji Change,ayt_biyoloji Change (%),ayt_edebiyat Change,ayt_edebiyat Change (%),ayt_cografya1 Change,ayt_cografya1 Change (%),ayt_cografya2 Change,ayt_cografya2 Change (%),ayt_din Change,ayt_din Change (%),ayt_felsefe Change,ayt_felsefe Change (%),ayt_tarih1 Change,ayt_tarih1 Change (%),ayt_tarih2 Change,ayt_tarih2 Change (%)
2024,Moleküler Biyoloji ve Genetik,57160,426.70613,91.0,50.6,0.0,441.0,-24.85095000000001,-0.09999999999999432,-7.300000000000004,0.0,-5.503390623395832,0.7775172340838132,-0.1097694840834218,-12.60794473229707,0.0,-0.10000000000000142,-0.31152647975077885,4.199999999999999,16.666666666666675,-0.1999999999999993,-2.2222222222222143,-0.09999999999999964,-0.649350649350644,-2.3000000000000007,-9.2741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.9000000000000021,4.761904761904767,0.2999999999999998,7.8947368421052655,0.0,0.0,0.0,0.0,0.0,0.0,2.2,37.93103448275863,0.0,0.0
2021,Okul Öncesi Öğretmenliği,12129,369.81961,49.69999999999999,54.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4000000000000021,4.635761589403975,8.399999999999999,95.45454545454544,1.5,32.60869565217392,-0.9000000000000004,-6.382978723404253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Okul Öncesi Öğretmenliği,12247,415.08841,55.5,60.3,0.0,118.0,45.2688,5.800000000000011,5.899999999999999,0.0,12.240778686668353,0.9728749278588467,11.670020120724377,10.845588235294112,0.0,2.6000000000000014,9.558823529411775,13.400000000000002,73.62637362637363,0.8000000000000007,5.714285714285716,0.3000000000000007,2.205882352941191,12.699999999999996,58.796296296296276,2.3999999999999995,35.29411764705881,-0.5,-5.000000000000004,-2.200000000000001,-20.370370370370384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,Okul Öncesi Öğretmenliği,10407,416.60906,56.400000000000006,59.1,0.0,-1840.0,1.5206499999999892,0.9000000000000057,-1.1999999999999957,0.0,0.36634364230982985,-15.024087531640406,1.6216216216216273,-1.990049751243772,0.0,0.8999999999999986,2.9032258064516148,-0.10000000000000142,-0.2932551319648091,2.0999999999999996,13.636363636363624,0.6000000000000014,4.225352112676073,-1.7000000000000028,-4.709141274238238,2.4000000000000004,23.529411764705888,0.8000000000000007,7.920792079207928,0.09999999999999964,1.0526315789473717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,Okul Öncesi Öğretmenliği,8642,430.72524,56.8,61.2,0.0,-1765.0,14.116179999999986,0.3999999999999915,2.1000000000000014,0.0,3.3883516599470864,-16.95973863745556,0.7092198581560183,3.5532994923857864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,Rehberlik ve Psikolojik Danışmanlık,69183,336.12441,57.8,38.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5822784810126667,-0.6999999999999993,-4.069767441860462,1.4000000000000004,22.95081967213115,1.5,11.363636363636353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Rehberlik ve Psikolojik Danışmanlık,87337,384.62513,67.4,45.6,0.0,18154.0,48.50072,9.600000000000009,7.5,0.0,14.42939535394052,26.240550424237163,16.608996539792397,19.685039370078748,0.0,0.8000000000000007,2.684563758389258,0.7999999999999972,2.5316455696202445,1.8000000000000007,12.162162162162172,0.0,0.0,-1.5999999999999943,-4.664723032069951,3.0,32.60869565217392,0.5999999999999996,6.315789473684208,0.5,5.813953488372103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,Rehberlik ve Psikolojik Danışmanlık,70958,385.29609,68.2,44.6,0.0,-16379.0,0.6709599999999796,0.7999999999999972,-1.0,0.0,0.17444517990803377,-18.753792779692457,1.1869436201780381,-2.1929824561403466,0.0,0.3999999999999986,1.2539184952978122,0.5,1.4705882352941124,-0.5,-2.857142857142858,0.3999999999999986,2.7027027027026973,-5.299999999999997,-15.406976744186041,-0.1999999999999993,-1.5873015873015817,-0.8000000000000007,-7.339449541284415,1.3000000000000007,13.541666666666675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,Rehberlik ve Psikolojik Danışmanlık,58207,382.21485,68.89999999999999,43.7,0.0,-12751.0,-3.0812399999999798,0.6999999999999886,-0.8999999999999986,0.0,-0.799707051270615,-17.969784943205834,1.0263929618768097,-2.0179372197309364,0.0,1.9000000000000021,7.0631970260223165,9.4,105.61797752808988,1.7000000000000002,73.91304347826089,-0.3999999999999986,-2.8169014084506894,7.699999999999999,120.3125,0.0,0.0,0.0,0.0,0.0,0.0,-0.3000000000000007,-1.8633540372670843,0.10000000000000053,2.3255813953488413,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000002,16.666666666666675,0.0,0.0
2021,Sanat ve Kültür Yönetimi,94818,306.95984,43.2,39.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29999999999999716,0.9345794392523255,3.5,21.212121212121215,0.40000000000000036,5.3333333333333455,0.10000000000000142,0.6802721088435382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
