year,department_name,quota,preferred,placed_students,Quota Change,Preferred Change,Placed Students Change,Quota Change (%),Preferred Change (%),Placed Students Change (%)
2022,Makine Mühendisliği,216,2903,216,0.0,551.0,0.0,0.0,23.426870748299322,0.0
2023,Makine Mühendisliği,216,2933,216,0.0,30.0,0.0,0.0,1.033413709955222,0.0
2024,Makine Mühendisliği,221,3302,221,5.0,369.0,5.0,2.314814814814814,12.580975110808046,2.314814814814814
2021,Matematik,82,1084,82,,,,,,
2022,Matematik,82,1974,82,0.0,890.0,0.0,0.0,82.10332103321034,0.0
2023,Matematik,84,1802,82,2.0,-172.0,0.0,2.4390243902439046,-8.71327254305978,0.0
2024,Matematik,82,1301,82,-2.0,-501.0,0.0,-2.3809523809523836,-27.802441731409544,0.0
2021,Matematik Mühendisliği,103,1057,103,,,,,,
2022,Matematik Mühendisliği,103,1961,103,0.0,904.0,0.0,0.0,85.52507095553452,0.0
2023,Matematik Mühendisliği,103,2283,103,0.0,322.0,0.0,0.0,16.420193778684357,0.0
2024,Matematik Mühendisliği,108,2106,108,5.0,-177.0,5.0,4.854368932038833,-7.752956636005259,4.854368932038833
2021,Matematik Mühendisliği (KKTC Uyruklu),1,3,0,,,,,,
2022,Matematik Mühendisliği (KKTC Uyruklu),1,9,1,0.0,6.0,1.0,0.0,200.0,inf
2023,Matematik Mühendisliği (KKTC Uyruklu),1,6,1,0.0,-3.0,0.0,0.0,-33.333333333333336,0.0
2024,Matematik Mühendisliği (KKTC Uyruklu),1,11,1,0.0,5.0,0.0,0.0,83.33333333333333,0.0
2021,Matematik Mühendisliği (İngilizce),72,1072,72,,,,,,
2022,Matematik Mühendisliği (İngilizce),72,1932,72,0.0,860.0,0.0,0.0,80.22388059701493,0.0
2023,Matematik Mühendisliği (İngilizce),72,2035,72,0.0,103.0,0.0,0.0,5.331262939958603,0.0
2024,Matematik Mühendisliği (İngilizce),77,2065,77,5.0,30.0,5.0,6.944444444444442,1.4742014742014753,6.944444444444442
2021,Mekatronik Mühendisliği,62,1321,62,,,,,,
2022,Mekatronik Mühendisliği,62,1451,62,0.0,130.0,0.0,0.0,9.841029523088562,0.0
2023,Mekatronik Mühendisliği,62,1474,62,0.0,23.0,0.0,0.0,1.5851137146795313,0.0
2024,Mekatronik Mühendisliği,67,1377,67,5.0,-97.0,5.0,8.064516129032251,-6.580732700135683,8.064516129032251
2021,Mekatronik Mühendisliği (İngilizce),52,1399,52,,,,,,
2022,Mekatronik Mühendisliği (İngilizce),52,1668,52,0.0,269.0,0.0,0.0,19.228020014295932,0.0
2023,Mekatronik Mühendisliği (İngilizce),52,1462,52,0.0,-206.0,0.0,0.0,-12.35011990407674,0.0
2024,Mekatronik Mühendisliği (İngilizce),57,1380,57,5.0,-82.0,5.0,9.615384615384626,-5.608755129958965,9.615384615384626
2021,Mekatronik Mühendisliği (İngilizce) (KKTC Uyruklu),1,4,0,,,,,,
2022,Mekatronik Mühendisliği (İngilizce) (KKTC Uyruklu),1,12,1,0.0,8.0,1.0,0.0,200.0,inf
2023,Mekatronik Mühendisliği (İngilizce) (KKTC Uyruklu),2,17,2,1.0,5.0,1.0,100.0,41.66666666666667,100.0
2024,Mekatronik Mühendisliği (İngilizce) (KKTC Uyruklu),1,16,1,-1.0,-1.0,-1.0,-50.0,-5.882352941176472,-50.0
2021,Metalurji ve Malzeme Mühendisliği,103,1099,103,,,,,,
2022,Metalurji ve Malzeme Mühendisliği,103,1448,103,0.0,349.0,0.0,0.0,31.75614194722476,0.0
2023,Metalurji ve Malzeme Mühendisliği,103,1413,103,0.0,-35.0,0.0,0.0,-2.4171270718231996,0.0
2024,Metalurji ve Malzeme Mühendisliği,108,1786,108,5.0,373.0,5.0,4.854368932038833,26.397735314932767,4.854368932038833
2021,Metalurji ve Malzeme Mühendisliği (İngilizce),52,946,52,,,,,,
2022,Metalurji ve Malzeme Mühendisliği (İngilizce),52,1296,52,0.0,350.0,0.0,0.0,36.99788583509513,0.0
2023,Metalurji ve Malzeme Mühendisliği (İngilizce),52,1203,52,0.0,-93.0,0.0,0.0,-7.17592592592593,0.0
2024,Metalurji ve Malzeme Mühendisliği (İngilizce),57,1314,57,5.0,111.0,5.0,9.615384615384626,9.22693266832917,9.615384615384626
2021,Mimarlık,134,2578,134,,,,,,
2022,Mimarlık,134,2057,134,0.0,-521.0,0.0,0.0,-20.209464701318847,0.0
2023,Mimarlık,134,1783,134,0.0,-274.0,0.0,0.0,-13.32036947010209,0.0
2024,Mimarlık,103,1716,103,-31.0,-67.0,-31.0,-23.134328358208954,-3.7577117218171585,-23.134328358208954
2021,Mimarlık (İngilizce),72,189,72,,,,,,
2022,Mimarlık (İngilizce),72,1491,72,0.0,1302.0,0.0,0.0,688.8888888888889,0.0
2023,Mimarlık (İngilizce),72,1159,72,0.0,-332.0,0.0,0.0,-22.266934942991277,0.0
2024,Mimarlık (İngilizce),72,1140,72,0.0,-19.0,0.0,0.0,-1.6393442622950838,0.0
2021,Moleküler Biyoloji ve Genetik,82,1874,82,,,,,,
2022,Moleküler Biyoloji ve Genetik,82,2131,82,0.0,257.0,0.0,0.0,13.713980789754544,0.0
2023,Moleküler Biyoloji ve Genetik,84,1612,83,2.0,-519.0,1.0,2.4390243902439046,-24.35476302205537,1.2195121951219523
2024,Moleküler Biyoloji ve Genetik,72,1578,72,-12.0,-34.0,-11.0,-14.28571428571429,-2.109181141439209,-13.253012048192769
2021,Okul Öncesi Öğretmenliği,62,1108,62,,,,,,
2022,Okul Öncesi Öğretmenliği,62,1526,62,0.0,418.0,0.0,0.0,37.72563176895307,0.0
2023,Okul Öncesi Öğretmenliği,62,996,62,0.0,-530.0,0.0,0.0,-34.73132372214941,0.0
2024,Okul Öncesi Öğretmenliği,52,964,52,-10.0,-32.0,-10.0,-16.129032258064512,-3.2128514056224855,-16.129032258064512
2021,Rehberlik ve Psikolojik Danışmanlık,72,1214,72,,,,,,
2022,Rehberlik ve Psikolojik Danışmanlık,72,1205,72,0.0,-9.0,0.0,0.0,-0.7413509060955503,0.0
