Department Name,Year,Total Male Number,Total Female Number,Male Change,Male Percentage Change,Female Percentage Change,Quota,Preferred number,Placed Number,Professors,Phd,Assoc Prof,Quota Change,Quota Change (%),Preferred number Change,Preferred number Change (%),Placed number Change,Placed number Change (%),Professors Change,Professors Change (%),Phd Change,Phd Change (%),Assoc prof Change,Assoc prof Change (%),Base Point,Success Order,Total Correct TYT,Total Correct AYT,Total Correct YDT,Base Point Change,Success Order Change,Total Correct TYT Change,Total Correct AYT Change,Total Correct YDT Change,Base Point Change (%),Success Order Change (%),Total Correct TYT Change (%),Total Correct AYT Change (%),Total Correct YDT Change (%)
Computer Education and Instructional Technology,2021,178,99,0.0,0.0,0.0,41,325,41,1,4,1,,,,,,,,,,,,,438.4998,66934,88.8,55.5,0.0,73.83348000000001,-9110.0,16.299999999999997,12.399999999999999,0.0,20.24686019811208,-11.979906369996318,22.482758620689648,28.770301624129925,
Computer Education and Instructional Technology,2022,186,88,-11.0,4.494382022471921,-11.111111111111116,41,525,41,1,3,0,0.0,0.0,200.0,61.53846153846154,0.0,0.0,0.0,0.0,-1.0,-25.0,-1.0,-100.0,430.24605,74608,86.0,54.2,0.0,66.36574000000002,-2261.0,17.400000000000006,9.600000000000001,0.0,18.23834326182694,-2.94136778155043,25.364431486880477,21.52466367713004,
Computer Education and Instructional Technology,2023,175,87,-1.0,-5.913978494623651,-1.1363636363636354,41,588,41,1,1,2,0.0,0.0,63.0,12.00000000000001,0.0,0.0,0.0,0.0,-2.0,-66.66666666666667,2.0,inf,386.94577,82578,68.7,45.2,0.0,69.59801999999996,-23947.0,13.400000000000006,11.600000000000001,0.0,21.931152812647948,-22.480168974419147,24.23146473779387,34.52380952380953,
Computer Education and Instructional Technology,2024,175,87,0.0,0.0,0.0,47,461,47,1,1,2,6.0,14.634146341463406,-127.0,-21.59863945578231,6.0,14.634146341463406,0.0,0.0,0.0,0.0,0.0,0.0,421.56486,25731,79.7,52.2,0.0,70.81220000000002,-21391.0,18.400000000000006,11.700000000000003,0.0,20.18864233274811,-45.39493230338271,30.016313213703107,28.888888888888896,
Computer Engineering,2021,769,121,0.0,0.0,0.0,103,3542,103,5,10,5,,,,,,,,,,,,,458.24052,49462,89.8,61.5,0.0,73.51977,-7129.0,15.899999999999991,13.899999999999999,0.0,19.109905041513887,-12.597409482073118,21.515561569688746,29.201680672268893,
Computer Engineering,2022,827,140,19.0,7.542262678803646,15.702479338842966,103,4594,103,7,10,5,0.0,0.0,1052.0,29.70073404856013,0.0,0.0,2.0,39.99999999999999,0.0,0.0,0.0,0.0,471.4217,38518,93.4,64.4,0.0,74.9889,-8028.0,17.200000000000003,14.600000000000009,0.0,18.915917149135986,-17.2474541313969,22.572178477690287,29.31726907630523,
Computer Engineering,2023,771,128,-12.0,-6.771463119709797,-8.571428571428575,113,2872,113,8,8,4,10.0,9.708737864077666,-1722.0,-37.48367435785808,10.0,9.708737864077666,1.0,14.28571428571428,-2.0,-19.999999999999996,-1.0,-19.999999999999996,391.70909,115672,77.0,45.6,0.0,80.90951000000001,-29148.0,16.4,12.300000000000004,0.0,26.032696054479864,-20.127054274271504,27.062706270627057,36.93693693693696,
Computer Engineering,2024,771,128,0.0,0.0,0.0,118,3008,118,8,8,4,5.0,4.424778761061954,136.0,4.73537604456824,5.0,4.424778761061954,0.0,0.0,0.0,0.0,0.0,0.0,420.75938,83970,83.8,53.1,0.0,77.46705000000003,-15901.0,16.299999999999997,13.200000000000003,0.0,22.56591343010781,-15.921538785032697,24.14814814814814,33.08270676691729,
Conservation and Restoration of Cultural Property,2021,40,58,0.0,0.0,0.0,41,283,41,0,3,1,,,,,,,,,,,,,409.17894,96062,79.8,50.7,0.0,68.97908000000001,-7520.0,15.099999999999994,11.5,0.0,20.276045968978362,-7.259948639725044,23.33848531684697,29.336734693877542,
Conservation and Restoration of Cultural Property,2022,76,104,46.0,89.99999999999999,79.3103448275862,41,866,41,0,3,1,0.0,0.0,583.0,206.00706713780917,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,430.37237,74506,84.9,54.3,0.0,70.75347999999997,-6700.0,17.0,11.599999999999994,0.0,19.67457271223989,-8.250621875230891,25.03681885125184,27.1662763466042,
